iter	MultiRMSE
464	4.889357165
465	4.886706492
466	4.885301538
467	4.882196412
468	4.877852636
469	4.875313972
470	4.87331802
471	4.869774712
472	4.86623324
473	4.864409544
474	4.862406938
475	4.859372525
476	4.85690375
477	4.855751474
478	4.854160493
479	4.853061526
480	4.847808431
481	4.846206902
482	4.84403205
483	4.84102188
484	4.838551724
485	4.833338807
486	4.826047667
487	4.824777574
488	4.823696129
489	4.822645682
490	4.82024312
491	4.819087966
492	4.816522538
493	4.815443075
494	4.813933306
495	4.812072807
496	4.809167343
497	4.80827434
498	4.805243369
499	4.803815702
500	4.803019405
501	4.800828483
502	4.797926317
503	4.796434858
504	4.795282754
505	4.791217785
506	4.788952144
507	4.787184681
508	4.785736397
509	4.783896269
510	4.781639547
511	4.779696413
512	4.778502563
513	4.776819433
514	4.775368429
515	4.774120371
516	4.772482203
517	4.770488026
518	4.769541186
519	4.768484311
520	4.767141024
521	4.764367228
522	4.762195533
523	4.760023817
524	4.757771132
525	4.756377322
526	4.752604186
527	4.751081352
528	4.75020531
529	4.748939009
530	4.744775765
531	4.743441231
532	4.742241239
533	4.739174089
534	4.737613199
535	4.73622413
536	4.732666417
537	4.730146699
538	4.727643255
539	4.726626006
540	4.725594407
541	4.724278256
542	4.721698308
543	4.719771038
544	4.717951567
545	4.715573998
546	4.713428104
547	4.712222252
548	4.711360394
549	4.710558566
550	4.708397469
551	4.706380444
552	4.705502217
553	4.703346055
554	4.700912423
555	4.69939431
556	4.698494839
557	4.696863788
558	4.69392676
559	4.692877826
560	4.690118537
561	4.688225069
562	4.686099721
563	4.683762795
564	4.68133696
565	4.680231823
566	4.677967129
567	4.676681223
568	4.674508597
569	4.672739561
570	4.671349891
571	4.669177291
572	4.666621618
573	4.665616203
574	4.661565054
575	4.660341864
576	4.658996351
577	4.657392695
578	4.656386865
579	4.654937172
580	4.653733777
581	4.649606284
582	4.647776042
583	4.646526791
584	4.643672937
585	4.642180883
586	4.639859344
587	4.638193441
588	4.637560371
589	4.636194303
590	4.63328914
591	4.631641157
592	4.630191154
593	4.629583199
594	4.628507675
595	4.62627665
596	4.62499693
597	4.621242797
598	4.620027189
599	4.618464756
600	4.616675597
601	4.615413257
602	4.613346815
603	4.61020689
604	4.608600735
605	4.607378077
606	4.605847076
607	4.603925548
608	4.602623345
609	4.601869488
610	4.600576185
611	4.599224666
612	4.598309157
613	4.597417336
614	4.595690097
615	4.594939155
616	4.593178846
617	4.591420771
618	4.590756202
619	4.588949462
620	4.585844017
621	4.582268377
622	4.580634286
623	4.578137286
624	4.577146611
625	4.576077782
626	4.574057088
627	4.5731505
628	4.570268639
629	4.568964276
630	4.56717746
631	4.565968571
632	4.563341992
633	4.562092224
634	4.561127333
635	4.559967007
636	4.557380016
637	4.555323512
638	4.553663175
639	4.552749442
640	4.551927074
641	4.550567511
642	4.549479399
643	4.548823979
644	4.548201018
645	4.546213852
646	4.5440937
647	4.540672193
648	4.539602445
649	4.536796732
650	4.535907486
651	4.534599164
652	4.531196653
653	4.528859653
654	4.526807652
655	4.525835173
656	4.522168877
657	4.520945773
658	4.51848765
659	4.517665688
660	4.514504573
661	4.512271558
662	4.510108814
663	4.50848446
664	4.505197489
665	4.502303696
666	4.50120074
667	4.499654329
668	4.498898447
669	4.496905107
670	4.496353632
671	4.49548788
672	4.494239512
673	4.493069231
674	4.492533872
675	4.491190292
676	4.489221308
677	4.487097139
678	4.48456884
679	4.4820258
680	4.480469688
681	4.478443652
682	4.47721116
683	4.476351092
684	4.473355324
685	4.471973443
686	4.470514174
687	4.467194647
688	4.465903251
689	4.464846996
690	4.464127594
691	4.463378678
692	4.461131073
693	4.459421298
694	4.458622107
695	4.457227323
696	4.456604166
697	4.455254948
698	4.451707684
699	4.450780318
700	4.448707411
701	4.44667258
702	4.444857739
703	4.444025709
704	4.441967559
705	4.440043544
706	4.436572535
707	4.434583376
708	4.433857503
709	4.432689361
710	4.430982617
711	4.428303132
712	4.426844499
713	4.425790525
714	4.42399882
715	4.421747583
716	4.420489923
717	4.419633441
718	4.418982308
719	4.417431762
720	4.416513918
721	4.413680418
722	4.411028096
723	4.410176285
724	4.408523187
725	4.407632394
726	4.405987429
727	4.404632785
728	4.403679994
729	4.401879294
730	4.400157834
731	4.395502504
732	4.394306721
733	4.39279109
734	4.390973818
735	4.389416915
736	4.385843485
737	4.385074435
738	4.383667736
739	4.381626775
740	4.379624517
741	4.377036257
742	4.375964738
743	4.375267926
744	4.373884544
745	4.371844081
746	4.3688778
747	4.36744625
748	4.366309299
749	4.364322444
750	4.362279973
751	4.360339727
752	4.358206948
753	4.35608356
754	4.355162618
755	4.352533703
756	4.350730585
757	4.348713729
758	4.346270817
759	4.343678767
760	4.343013133
761	4.341626478
762	4.340696399
763	4.339053407
764	4.338294843
765	4.337553069
766	4.334672219
767	4.33351303
768	4.332625149
769	4.331526096
770	4.330216183
771	4.3286553
772	4.327958878
773	4.326472928
774	4.325750303
775	4.323235674
776	4.321531247
777	4.320008267
778	4.319166324
779	4.317656411
780	4.315166381
781	4.313232958
782	4.311411762
783	4.310690037
784	4.309609468
785	4.307663561
786	4.306761139
787	4.305434322
788	4.304061337
789	4.302452209
790	4.301467818
791	4.300154371
792	4.298731592
793	4.29797242
794	4.297146935
795	4.295646375
796	4.294194061
797	4.293522491
798	4.29248339
799	4.290403311
800	4.288275587
801	4.28728528
802	4.286717282
803	4.285124135
804	4.283820696
805	4.282872237
806	4.28059143
807	4.279163122
808	4.278481062
809	4.276758727
810	4.275062273
811	4.273129525
812	4.27175056
813	4.271018179
814	4.269994433
815	4.268151605
816	4.266461298
817	4.265642105
818	4.264084744
819	4.2632689
820	4.262232029
821	4.261027301
822	4.259647754
823	4.258099361
824	4.257517336
825	4.254511456
826	4.253069781
827	4.251108083
828	4.24999145
829	4.249128737
830	4.24676464
831	4.244803072
832	4.243198578
833	4.242590361
834	4.241029824
835	4.239214378
836	4.238238443
837	4.237214613
838	4.235384825
839	4.232674292
840	4.231382582
841	4.228719261
842	4.228081328
843	4.226778591
844	4.226194647
845	4.225007572
846	4.223320719
847	4.222566203
848	4.221322106
849	4.220606025
850	4.219030944
851	4.21763171
852	4.215875189
853	4.215388173
854	4.214184016
855	4.211213741
856	4.209380681
857	4.207356672
858	4.206054376
859	4.204196691
860	4.203337969
861	4.201684393
862	4.199574848
863	4.197917357
864	4.197164097
865	4.196087834
866	4.19508125
867	4.194031204
868	4.193359866
869	4.192751419
870	4.19209545
871	4.191414032
872	4.190735859
873	4.189516975
874	4.187799571
875	4.187083839
876	4.185797817
877	4.184121169
878	4.182884643
879	4.181688154
880	4.181102683
881	4.179483199
882	4.178984013
883	4.177528365
884	4.17499524
885	4.174018372
886	4.172921611
887	4.171970165
888	4.170559758
889	4.169612239
890	4.168015444
891	4.16677787
892	4.165957821
893	4.164782728
894	4.163546947
895	4.162888038
896	4.162130186
897	4.159872741
898	4.159161701
899	4.158249535
900	4.15666723
901	4.156248599
902	4.153942583
903	4.153117104
904	4.151165728
905	4.150169678
906	4.149069961
907	4.148550459
908	4.147858811
909	4.147208272
910	4.146533864
911	4.145181282
912	4.144303695
913	4.14290661
914	4.141899516
915	4.141055189
916	4.139576142
917	4.138816236
918	4.137158533
919	4.13579667
920	4.134635671
921	4.133752754
922	4.132506485
923	4.131458498
924	4.130894947
925	4.130221444
926	4.129192714
927	4.127639697
928	4.126599586
929	4.124311804
930	4.123635424
931	4.121725095
932	4.120201372
933	4.119907928
934	4.118926402
935	4.118313188
936	4.116352147
937	4.114297689
938	4.113696939
939	4.111484011
940	4.110250107
941	4.108493489
942	4.106234942
943	4.105166703
944	4.104358555
945	4.102592008
946	4.100863761
947	4.098975156
948	4.097760876
949	4.096585768
950	4.09497692
951	4.093706169
952	4.093064023
953	4.091632979
954	4.091170357
955	4.089990008
956	4.089176726
957	4.086708169
958	4.085943651
959	4.084789846
960	4.083554778
961	4.081517002
962	4.080400099
963	4.077918716
964	4.07677736
965	4.075947422
966	4.074976098
967	4.073965942
968	4.072889331
969	4.071987009
970	4.07111514
971	4.069290327
972	4.068642339
973	4.067822479
974	4.066904706
975	4.065588893
976	4.063999385
977	4.062739734
978	4.061198057
979	4.0605135
980	4.059696382
981	4.057984536
982	4.056728968
983	4.055199826
984	4.053625873
985	4.052868876
986	4.05219245
987	4.050583105
988	4.049649115
989	4.049045151
990	4.047659022
991	4.046034627
992	4.045527651
993	4.045122988
994	4.044088258
995	4.043711362
996	4.042249729
997	4.041511654
998	4.040050083
999	4.038943576
