iter	Passed	Remaining
176	81961	381098
177	82279	379963
178	82660	379131
179	82996	378093
180	83318	377003
181	83647	375953
182	83958	374832
183	84241	373593
184	84546	372462
185	84823	371216
186	85087	369924
187	85358	368675
188	85639	367480
189	85937	366366
190	86201	365113
191	86463	363866
192	86749	362729
193	87023	361550
194	87286	360338
195	87554	359151
196	87819	357965
197	88115	356912
198	88386	355765
199	88655	354623
200	88916	353454
201	89194	352360
202	89484	351324
203	89757	350230
204	90023	349113
205	90316	348114
206	90602	347091
207	90879	346040
208	91169	345047
209	91600	344590
210	91960	343873
211	92291	343044
212	92642	342297
213	93002	341590
214	93373	340922
215	93713	340145
216	94041	339331
217	94399	338625
218	94727	337817
219	95096	337160
220	95446	336438
221	95786	335682
222	96114	334892
223	96446	334118
224	96770	333321
225	97090	332515
226	97494	331998
227	97828	331242
228	98170	330520
229	98501	329767
230	98835	329023
231	99188	328347
232	99531	327641
233	99923	327100
234	100271	326414
235	100634	325782
236	100956	325020
237	101285	324282
238	101614	323550
239	101939	322808
240	102299	322179
241	102620	321429
242	102944	320694
243	103278	319994
244	103584	319209
245	103892	318435
246	104213	317704
247	104562	317060
248	104898	316379
249	105205	315615
250	105548	314962
251	105889	314305
252	106211	313596
253	106535	312894
254	106861	312202
255	107196	311539
256	107498	310785
257	107795	310017
258	108100	309274
259	108404	308536
260	108715	307818
261	109015	307074
262	109349	306427
263	109685	305790
264	109992	305072
265	110323	304425
266	110632	303720
267	110937	303007
268	111277	302392
269	111622	301794
270	111932	301102
271	112270	300489
272	112575	299788
273	112885	299104
274	113216	298479
275	113520	297786
276	113865	297200
277	114216	296634
278	114523	295954
279	114831	295281
280	115164	294674
281	115477	294018
282	115800	293389
283	116134	292790
284	116474	292207
285	116816	291633
286	117148	291033
287	117492	290468
288	117833	289894
289	118137	289233
290	118469	288641
291	118804	288060
292	119114	287419
293	119434	286805
294	119746	286174
295	120049	285522
296	120375	284928
297	120721	284383
298	121129	283986
299	121497	283494
300	121822	282903
301	122140	282298
302	122459	281697
303	122778	281098
304	123141	280601
305	123488	280068
306	123817	279497
307	124148	278929
308	124494	278399
309	124843	277878
310	125190	277351
311	125536	276825
312	125896	276329
313	126224	275764
314	126547	275191
315	126904	274692
316	127238	274145
317	127591	273639
318	127987	273227
319	128330	272701
320	128656	272141
321	128987	271595
322	129314	271039
323	129639	270481
324	129971	269941
325	130341	269479
326	130707	269009
327	131041	268475
328	131378	267948
329	131778	267550
330	132104	267003
331	132438	266473
332	132811	266021
333	133148	265500
334	133479	264966
335	133817	264448
336	134154	263930
337	134456	263343
338	134789	262820
339	135148	262346
340	135468	261799
341	135790	261258
342	136125	260741
343	136436	260181
344	136737	259603
345	137069	259085
346	137429	258620
347	137792	258163
348	138121	257642
349	138448	257119
350	138816	256671
351	139132	256130
352	139476	255640
353	139820	255151
354	140150	254638
355	140490	254146
356	140818	253631
357	141150	253125
358	141469	252595
359	141782	252057
360	142114	251554
361	142488	251126
362	142841	250661
363	143175	250163
364	143488	249631
365	143799	249094
366	144132	248599
367	144456	248088
368	144767	247556
369	145093	247050
370	145397	246509
371	145712	245987
372	146019	245453
373	146318	244906
374	146649	244415
375	147000	243958
376	147310	243433
377	147616	242902
378	147921	242372
379	148229	241848
380	148556	241355
381	148867	240838
382	149185	240333
383	149514	239845
384	149830	239338
385	150137	238819
386	150444	238301
387	150763	237802
388	151108	237345
389	151443	236872
390	151786	236413
391	152127	235953
392	152460	235479
393	152776	234981
394	153073	234454
395	153434	234026
396	153767	233555
397	154117	233113
398	154431	232614
399	154773	232160
400	155091	231670
401	155418	231195
402	155756	230735
403	156082	230259
404	156400	229773
405	156718	229287
406	157041	228809
407	157346	228307
408	157654	227809
409	157985	227345
410	158313	226877
411	158639	226407
412	158954	225922
413	159291	225470
414	159595	224971
415	159917	224499
416	160258	224055
417	160583	223587
418	160896	223105
419	161219	222636
420	161541	222166
421	161853	221685
422	162166	221205
423	162482	220730
424	162800	220258
425	163140	219818
426	163465	219358
427	163797	218907
428	164110	218431
429	164452	217995
430	164755	217507
431	165108	217086
432	165426	216620
433	165756	216170
434	166093	215730
435	166394	215244
436	166736	214811
437	167068	214366
438	167381	213897
439	167753	213504
440	168133	213121
441	168514	212740
442	168837	212285
443	169150	211819
444	169459	211348
445	169778	210891
446	170118	210459
447	170450	210019
448	170760	209552
449	171081	209099
450	171414	208662
451	171727	208201
452	172039	207738
453	172378	207309
454	172729	206895
455	173062	206461
456	173383	206011
457	173694	205551
458	174026	205116
459	174346	204667
460	174680	204235
461	175009	203799
462	175327	203350
463	175648	202904
464	175974	202465
465	176323	202053
466	176643	201607
467	176997	201201
468	177341	200785
469	177677	200359
470	177994	199912
471	178316	199472
472	178634	199028
473	178978	198613
474	179350	198229
475	179709	197831
476	180068	197433
477	180385	196990
478	180704	196549
479	181025	196110
480	181348	195675
481	181692	195263
482	182057	194872
483	182369	194426
484	182676	193976
485	182986	193528
486	183297	193083
487	183625	192655
488	183979	192257
489	184317	191840
490	184667	191437
491	185000	191017
492	185326	190589
493	185657	190167
494	186037	189796
495	186391	189397
496	186731	188985
497	187070	188573
498	187421	188172
499	187756	187756
500	188084	187334
501	188431	186930
502	188770	186518
503	189119	186117
504	189437	185685
505	189813	185312
506	190184	184933
507	190517	184516
508	190872	184122
509	191215	183717
510	191551	183304
511	191882	182888
512	192217	182475
513	192555	182065
514	192930	181692
515	193288	181301
516	193628	180895
517	193927	180449
518	194242	180020
519	194572	179605
520	194876	179166
521	195196	178743
522	195566	178365
523	195921	177974
524	196246	177556
525	196565	177133
526	196875	176701
527	197189	176275
528	197509	175854
529	197865	175465
530	198216	175072
531	198582	174692
532	198907	174277
533	199259	173885
534	199587	173473
535	199908	173054
536	200241	172647
537	200571	172238
538	200913	171838
539	201227	171415
540	201543	170995
541	201885	170597
542	202196	170172
543	202515	169755
544	202837	169341
545	203194	168956
546	203503	168531
547	203818	168113
548	204146	167704
549	204498	167316
550	204843	166923
551	205194	166534
552	205540	166142
553	205891	165753
554	206221	165349
555	206548	164941
556	206867	164528
557	207206	164131
558	207573	163756
559	207923	163368
560	208265	162974
561	208594	162570
562	208908	162154
563	209223	161740
564	209561	161343
565	209910	160956
566	210266	160573
567	210642	160206
568	210976	159808
569	211289	159393
570	211640	159008
571	211962	158601
572	212331	158229
573	212713	157867
574	213080	157494
575	213450	157123
576	213797	156735
577	214163	156361
578	214558	156009
579	214943	155648
580	215292	155262
581	215639	154875
582	215981	154484
583	216321	154091
584	216701	153728
585	217083	153366
586	217445	152989
587	217777	152592
588	218103	152191
589	218436	151795
590	218786	151410
591	219150	151036
592	219519	150665
593	219856	150272
594	220193	149879
595	220518	149479
596	220852	149084
597	221197	148698
598	221573	148332
599	221926	147950
600	222254	147553
601	222651	147201
602	222989	146810
603	223326	146419
604	223690	146045
605	224032	145658
606	224371	145268
607	224692	144867
608	224990	144451
609	225304	144047
610	225618	143642
611	225921	143231
612	226249	142835
613	226578	142442
614	226885	142034
615	227199	141630
616	227507	141224
617	227837	140831
618	228145	140425
619	228469	140029
620	228794	139634
621	229103	139229
622	229417	138828
623	229740	138433
624	230060	138036
625	230375	137636
626	230702	137244
627	231061	136870
628	231366	136465
629	231689	136071
630	232002	135671
631	232318	135274
632	232627	134872
633	232944	134475
634	233280	134090
635	233623	133709
636	233942	133314
637	234244	132909
638	234627	132551
639	234966	132168
640	235280	131771
641	235622	131390
642	235946	131000
643	236244	130594
644	236552	130195
645	236861	129797
646	237174	129401
647	237522	129024
648	237872	128649
649	238254	128290
650	238560	127891
651	238874	127497
652	239186	127102
653	239499	126707
654	239814	126314
655	240151	125933
656	240484	125549
657	240792	125153
658	241100	124757
659	241470	124393
660	241780	123999
661	242093	123606
662	242448	123235
663	242774	122849
664	243090	122459
665	243401	122066
666	243741	121688
667	244078	121308
668	244431	120936
669	244760	120553
670	245125	120188
671	245447	119801
672	245767	119414
673	246091	119029
674	246410	118642
675	246730	118255
676	247064	117875
677	247420	117506
678	247798	117147
679	248113	116759
680	248429	116371
681	248777	115998
682	249097	115613
683	249427	115232
684	249769	114857
685	250104	114479
686	250412	114088
687	250743	113709
688	251074	113329
689	251436	112964
690	251787	112593
691	252123	112217
692	252498	111857
693	252817	111472
694	253135	111088
695	253460	110707
696	253786	110326
697	254146	109960
698	254490	109587
699	254848	109220
700	255181	108843
701	255513	108465
702	255858	108093
703	256191	107717
704	256564	107356
705	256910	106985
706	257283	106625
707	257601	106242
708	257921	105860
709	258273	105491
710	258592	105110
711	258941	104740
712	259289	104370
713	259617	103992
714	259956	103618
715	260321	103256
716	260647	102877
717	260975	102500
718	261335	102135
719	261690	101768
720	262049	101403
721	262374	101024
722	262711	100651
723	263023	100268
724	263393	99907
725	263801	99561
726	264191	99207
727	264528	98834
728	264899	98474
729	265249	98105
730	265560	97723
731	265880	97344
732	266221	96972
733	266562	96601
734	266866	96217
735	267176	95835
736	267509	95461
737	267820	95079
738	268130	94698
739	268460	94323
740	268790	93949
741	269113	93573
742	269449	93201
743	269761	92821
744	270067	92439
745	270382	92060
746	270709	91686
747	271040	91313
748	271358	90935
749	271659	90553
750	271969	90173
751	272307	89803
752	272663	89439
753	273055	89087
754	273414	88723
755	273740	88350
756	274059	87974
757	274383	87600
758	274734	87234
759	275079	86867
760	275405	86494
761	275748	86126
762	276075	85753
763	276412	85383
764	276724	85006
765	277047	84633
766	277377	84261
767	277718	83894
768	278075	83531
769	278397	83157
770	278714	82782
771	279060	82416
772	279384	82044
773	279716	81674
774	280066	81309
775	280410	80943
776	280726	80568
777	281055	80198
778	281373	79824
779	281694	79452
780	282004	79076
781	282330	78706
782	282676	78340
783	282998	77969
784	283319	77596
785	283654	77229
786	283965	76854
787	284272	76479
788	284610	76112
789	284940	75743
790	285246	75368
791	285574	74999
792	285894	74628
793	286224	74259
794	286547	73889
795	286863	73517
796	287185	73147
797	287500	72775
798	287841	72410
799	288145	72036
800	288452	71662
801	288772	71292
802	289087	70921
803	289421	70555
804	289767	70192
805	290076	69819
806	290422	69456
807	290757	69090
808	291068	68719
809	291400	68353
810	291724	67985
811	292068	67621
812	292370	67248
813	292670	66875
814	293001	66509
815	293317	66140
816	293635	65771
817	293962	65404
818	294316	65044
819	294638	64676
820	294966	64310
821	295309	63947
822	295621	63578
823	296007	63224
824	296349	62862
825	296751	62511
826	297093	62148
827	297406	61780
828	297730	61413
829	298072	61050
830	298401	60685
831	298741	60322
832	299097	59963
833	299459	59604
834	299834	59248
835	300178	58886
836	300501	58520
837	300829	58155
838	301181	57795
839	301514	57431
840	301834	57065
841	302167	56701
842	302483	56334
843	302813	55970
844	303137	55605
845	303482	55243
846	303819	54881
847	304131	54514
848	304467	54151
849	304802	53788
850	305138	53426
851	305440	53057
852	305797	52698
853	306179	52344
854	306491	51978
855	306825	51615
856	307128	51247
857	307435	50880
858	307773	50519
859	308097	50155
860	308424	49792
861	308757	49429
862	309072	49064
863	309405	48702
864	309731	48339
865	310044	47974
866	310364	47610
867	310743	47255
868	311048	46889
869	311381	46528
870	311717	46167
871	312041	45804
872	312363	45441
873	312687	45078
874	313051	44721
875	313364	44357
876	313695	43995
877	314055	43638
878	314374	43275
879	314689	42912
880	315016	42550
881	315367	42192
882	315689	41829
883	316001	41466
884	316317	41103
885	316633	40740
886	316981	40382
887	317398	40032
888	317777	39677
889	318150	39321
890	318501	38963
891	318839	38603
892	319195	38246
893	319534	37886
894	319898	37530
895	320254	37172
896	320596	36813
897	320959	36456
898	321290	36096
899	321641	35737
900	322029	35383
901	322397	35027
902	322752	34669
903	323105	34312
904	323481	33956
905	323847	33600
906	324304	33252
907	324678	32896
908	325015	32537
909	325363	32178
910	325722	31821
911	326056	31461
912	326381	31100
913	326731	30742
914	327067	30383
915	327396	30023
916	327747	29665
917	328078	29305
918	328440	28948
919	328793	28590
920	329184	28236
921	329572	27881
922	329924	27523
923	330276	27165
924	330639	26808
925	330979	26449
926	331357	26093
927	331693	25734
928	332013	25374
929	332353	25015
930	332693	24657
931	333048	24299
932	333388	23941
933	333763	23585
934	334105	23226
935	334442	22867
936	334770	22508
937	335093	22149
938	335421	21789
939	335765	21431
940	336161	21077
941	336508	20719
942	336834	20360
943	337166	20001
944	337504	19643
945	337829	19284
946	338231	18929
947	338581	18571
948	338925	18214
949	339281	17856
950	339645	17500
951	340033	17144
952	340405	16788
953	340861	16435
954	341221	16078
955	341566	15720
956	341915	15362
957	342253	15004
958	342598	14647
959	342962	14290
960	343334	13933
961	343742	13578
962	344137	13222
963	344511	12865
964	344859	12507
965	345261	12152
966	345660	11796
967	346087	11440
968	346468	11084
969	346851	10727
970	347231	10370
971	347654	10014
972	348007	9656
973	348355	9299
974	348718	8941
975	349117	8584
976	349514	8228
977	349929	7871
978	350301	7514
979	350666	7156
980	351016	6798
981	351378	6440
982	351730	6082
983	352080	5724
984	352476	5367
985	352848	5010
986	353188	4651
987	353524	4293
988	353862	3935
989	354193	3577
990	354548	3219
991	354948	2862
992	355285	2504
993	355635	2146
994	355983	1788
995	356333	1431
996	356679	1073
997	357065	715
998	357424	357
999	357822	0
