index,count,mean,std,min,25%,50%,75%,max,missing_values,location
wind_speed,5273.0,19.731310449459514,5.3200596823410855,7.6,15.6,19.1,23.4,44.3,0,13
precipitation,5273.0,3.6691636639484164,9.355057403131598,0.0,0.0,0.4,3.1,237.0,0,13
temperature,5273.0,27.62943296036412,1.7845628720396547,22.4,26.1,27.6,29.1,32.4,0,14
rainfall,5273.0,4.589853973070359,10.200499734733976,0.0,0.1,1.1,4.8,175.9,0,14
wind_speed,5273.0,16.45579366584487,4.524537415961419,6.0,13.3,15.9,19.0,46.0,0,14
precipitation,5273.0,4.589853973070359,10.200499734733976,0.0,0.1,1.1,4.8,175.9,0,14
temperature,5273.0,27.247107908211643,1.8869700562265537,22.1,25.6,27.2,28.9,31.7,0,15
rainfall,5273.0,4.847354447183766,9.724862010428605,0.0,0.2,1.4,5.3,164.5,0,15
wind_speed,5273.0,13.593058979707946,3.888699679457634,4.7,10.9,13.1,15.7,36.0,0,15
precipitation,5273.0,4.847354447183766,9.724862010428605,0.0,0.2,1.4,5.3,164.5,0,15
temperature,5273.0,27.73138630760478,1.6987138961589976,21.6,26.3,27.8,29.2,31.7,0,16
rainfall,5273.0,4.096794993362413,10.104907383607982,0.0,0.0,0.6,3.6,179.5,0,16
wind_speed,5273.0,20.240109994310636,6.059421030104189,5.2,15.5,19.1,24.7,46.0,0,16
precipitation,5273.0,4.096794993362413,10.104907383607982,0.0,0.0,0.6,3.6,179.5,0,16
temperature,5273.0,25.85317655983311,1.2468677974697215,20.3,25.0,25.7,26.5,30.4,0,17
rainfall,5273.0,5.829243315000948,10.872633702762695,0.0,0.4,2.4,7.1,254.0,0,17
wind_speed,5273.0,15.787236867058601,4.621283952755352,3.7,12.3,16.4,19.3,32.6,0,17
precipitation,5273.0,5.829243315000948,10.872633702762695,0.0,0.4,2.4,7.1,254.0,0,17
temperature,5273.0,27.004949743978756,1.1249195563620047,23.0,26.2,27.1,27.8,30.7,0,18
rainfall,5273.0,4.616783614640623,8.958403120325437,0.0,0.2,1.7,5.4,199.7,0,18
wind_speed,5273.0,18.546520007585816,5.562633753863064,5.0,14.4,18.3,22.4,37.5,0,18
precipitation,5273.0,4.616783614640623,8.958403120325437,0.0,0.2,1.7,5.4,199.7,0,18
temperature,5273.0,26.69651052531766,1.5449496626439116,21.3,25.5,26.9,27.9,31.0,0,19
rainfall,5273.0,3.9738858334913716,8.826439301519764,0.0,0.0,0.9,4.0,171.8,0,19
wind_speed,5273.0,18.10195334724066,6.182704931148918,3.7,13.4,17.3,23.1,40.2,0,19
precipitation,5273.0,3.9738858334913716,8.826439301519764,0.0,0.0,0.9,4.0,171.8,0,19
temperature,5273.0,27.297003603261903,2.024485577745969,21.4,25.5,27.5,29.0,32.7,0,20
rainfall,5273.0,4.088659207282382,9.854231409557132,0.0,0.0,0.6,3.7,190.3,0,20
wind_speed,5273.0,17.59362791579746,6.772282474908215,3.8,12.3,15.7,23.4,38.5,0,20
